# Monthly Data for Mar 1950 to Mar 2014
#
# (As of: Fri Mar 14 18:08:55 PDT 2014)
"#  **Provisional data, subject to revision**"
#
"Date,Station Id,Station Name,Air Temperature Average (degF),Snow Water Equivalent (in),Snow Depth (in),Precipitation Accumulation (in),Air Temperature Maximum (degF),Air Temperature Minimum (degF),Precipitation Increment - Snow-adj (in),Reservoir Storage Volume (ac_ft),Elevation (ft),Start Date,End Date"
"May 1999,846,VIRGINIA LAKES RIDGE,40,17.1,,21.9,68,15,0.50,,9445,1978-10-01,2100-01-01"
"Jun 1999,846,VIRGINIA LAKES RIDGE,49,0.6,,22.4,81,18,0.50,,9445,1978-10-01,2100-01-01"
"Jul 1999,846,VIRGINIA LAKES RIDGE,57,0.0,,22.9,79,37,0.30,,9445,1978-10-01,2100-01-01"
"Aug 1999,846,VIRGINIA LAKES RIDGE,53,0.0,,23.2,78,26,0.60,,9445,1978-10-01,2100-01-01"
"Sep 1999,846,VIRGINIA LAKES RIDGE,50,0.0,,23.8,76,30,0.70,,9445,1978-10-01,2100-01-01"
"Oct 1999,846,VIRGINIA LAKES RIDGE,45,0.0,,0.0,71,23,0.60,,9445,1978-10-01,2100-01-01"
"Nov 1999,846,VIRGINIA LAKES RIDGE,35,0.0,,0.6,62,4,1.50,,9445,1978-10-01,2100-01-01"
"Dec 1999,846,VIRGINIA LAKES RIDGE,27,0.8,,2.1,51,3,0.20,,9445,1978-10-01,2100-01-01"
"Jan 2000,846,VIRGINIA LAKES RIDGE,26,0.8,,2.3,43,5,6.40,,9445,1978-10-01,2100-01-01"
"Feb 2000,846,VIRGINIA LAKES RIDGE,25,6.0,,8.7,54,0,7.00,,9445,1978-10-01,2100-01-01"
"Mar 2000,846,VIRGINIA LAKES RIDGE,28,12.6,,15.7,56,4,1.80,,9445,1978-10-01,2100-01-01"
"Apr 2000,846,VIRGINIA LAKES RIDGE,36,13.9,,17.5,67,14,1.80,,9445,1978-10-01,2100-01-01"
"May 2000,846,VIRGINIA LAKES RIDGE,44,13.3,,19.3,71,10,0.70,,9445,1978-10-01,2100-01-01"
"Jun 2000,846,VIRGINIA LAKES RIDGE,53,0.0,,20.0,81,26,2.70,,9445,1978-10-01,2100-01-01"
"Jul 2000,846,VIRGINIA LAKES RIDGE,57,0.0,,22.7,85,31,0.00,,9445,1978-10-01,2100-01-01"
"Aug 2000,846,VIRGINIA LAKES RIDGE,56,0.0,,22.7,85,36,1.20,,9445,1978-10-01,2100-01-01"
"Sep 2000,846,VIRGINIA LAKES RIDGE,50,0.0,,23.9,78,24,0.10,,9445,1978-10-01,2100-01-01"
"Oct 2000,846,VIRGINIA LAKES RIDGE,36,0.0,,0.0,69,10,1.60,,9445,1978-10-01,2100-01-01"
"Nov 2000,846,VIRGINIA LAKES RIDGE,26,0.9,,1.6,51,1,0.70,,9445,1978-10-01,2100-01-01"
"Dec 2000,846,VIRGINIA LAKES RIDGE,31,1.2,,2.3,52,11,0.60,,9445,1978-10-01,2100-01-01"
"Jan 2001,846,VIRGINIA LAKES RIDGE,21,1.3,,2.9,52,-5,3.30,,9445,1978-10-01,2100-01-01"
"Feb 2001,846,VIRGINIA LAKES RIDGE,20,3.9,,6.2,55,-3,5.40,,9445,1978-10-01,2100-01-01"
"Mar 2001,846,VIRGINIA LAKES RIDGE,31,8.6,,11.6,62,5,3.00,,9445,1978-10-01,2100-01-01"
"Apr 2001,846,VIRGINIA LAKES RIDGE,30,9.9,,14.6,65,3,3.50,,9445,1978-10-01,2100-01-01"
"May 2001,846,VIRGINIA LAKES RIDGE,48,10.6,,18.1,76,12,0.10,,9445,1978-10-01,2100-01-01"
"Jun 2001,846,VIRGINIA LAKES RIDGE,54,0.0,,18.2,79,25,0.10,,9445,1978-10-01,2100-01-01"
"Jul 2001,846,VIRGINIA LAKES RIDGE,55,0.0,,18.3,82,37,0.80,,9445,1978-10-01,2100-01-01"
"Aug 2001,846,VIRGINIA LAKES RIDGE,61,0.0,,19.1,82,40,0.00,,9445,1978-10-01,2100-01-01"
"Sep 2001,846,VIRGINIA LAKES RIDGE,52,0.0,0,19.1,74,33,0.40,,9445,1978-10-01,2100-01-01"
"Oct 2001,846,VIRGINIA LAKES RIDGE,45,0.0,0,0.0,69,22,0.50,,9445,1978-10-01,2100-01-01"
"Nov 2001,846,VIRGINIA LAKES RIDGE,31,0.2,2,0.5,54,-1,4.60,,9445,1978-10-01,2100-01-01"
"Dec 2001,846,VIRGINIA LAKES RIDGE,23,3.8,22,5.1,44,-2,7.00,,9445,1978-10-01,2100-01-01"
"Jan 2002,846,VIRGINIA LAKES RIDGE,23,10.1,41,12.1,53,-8,1.60,,9445,1978-10-01,2100-01-01"
"Feb 2002,846,VIRGINIA LAKES RIDGE,29,11.4,39,13.7,55,8,1.80,,9445,1978-10-01,2100-01-01"
"Mar 2002,846,VIRGINIA LAKES RIDGE,26,12.5,42,15.5,58,0,2.60,,9445,1978-10-01,2100-01-01"
"Apr 2002,846,VIRGINIA LAKES RIDGE,34,14.1,43,18.1,65,8,1.30,,9445,1978-10-01,2100-01-01"
"May 2002,846,VIRGINIA LAKES RIDGE,41,12.5,27,19.4,73,13,0.00,,9445,1978-10-01,2100-01-01"
"Jun 2002,846,VIRGINIA LAKES RIDGE,54,0.0,0,19.4,82,19,0.00,,9445,1978-10-01,2100-01-01"
"Jul 2002,846,VIRGINIA LAKES RIDGE,61,0.0,0,19.4,88,38,1.10,,9445,1978-10-01,2100-01-01"
"Aug 2002,846,VIRGINIA LAKES RIDGE,57,0.0,0,20.5,83,32,0.10,,9445,1978-10-01,2100-01-01"
"Sep 2002,846,VIRGINIA LAKES RIDGE,49,0.0,0,20.6,75,26,0.80,,9445,1978-10-01,2100-01-01"
"Oct 2002,846,VIRGINIA LAKES RIDGE,38,0.0,0,0.0,64,17,0.30,,9445,1978-10-01,2100-01-01"
"Nov 2002,846,VIRGINIA LAKES RIDGE,31,0.0,0,0.3,56,13,4.40,,9445,1978-10-01,2100-01-01"
"Dec 2002,846,VIRGINIA LAKES RIDGE,22,4.1,15,4.7,43,2,7.60,,9445,1978-10-01,2100-01-01"
"Jan 2003,846,VIRGINIA LAKES RIDGE,33,10.9,52,12.3,55,10,0.80,,9445,1978-10-01,2100-01-01"
"Feb 2003,846,VIRGINIA LAKES RIDGE,22,11.7,36,13.1,49,-2,2.20,,9445,1978-10-01,2100-01-01"
"Mar 2003,846,VIRGINIA LAKES RIDGE,30,13.7,48,15.3,60,6,1.80,,9445,1978-10-01,2100-01-01"
"Apr 2003,846,VIRGINIA LAKES RIDGE,27,15.3,43,17.1,55,3,4.20,,9445,1978-10-01,2100-01-01"
"May 2003,846,VIRGINIA LAKES RIDGE,42,19.2,49,21.3,72,9,0.90,,9445,1978-10-01,2100-01-01"
"Jun 2003,846,VIRGINIA LAKES RIDGE,54,0.0,0,22.2,78,27,0.00,,9445,1978-10-01,2100-01-01"
"Jul 2003,846,VIRGINIA LAKES RIDGE,61,0.0,0,22.2,86,44,0.40,,9445,1978-10-01,2100-01-01"
"Aug 2003,846,VIRGINIA LAKES RIDGE,57,0.0,0,22.6,82,38,0.50,,9445,1978-10-01,2100-01-01"
"Sep 2003,846,VIRGINIA LAKES RIDGE,52,0.0,0,23.1,74,28,0.90,,9445,1978-10-01,2100-01-01"
"Oct 2003,846,VIRGINIA LAKES RIDGE,46,0.0,0,0.0,69,9,0.20,,9445,1978-10-01,2100-01-01"
"Nov 2003,846,VIRGINIA LAKES RIDGE,26,0.1,2,0.2,52,-1,1.50,,9445,1978-10-01,2100-01-01"
"Dec 2003,846,VIRGINIA LAKES RIDGE,25,1.0,6,1.7,50,-3,7.20,,9445,1978-10-01,2100-01-01"
"Jan 2004,846,VIRGINIA LAKES RIDGE,24,7.3,37,8.9,48,-4,2.40,,9445,1978-10-01,2100-01-01"
"Feb 2004,846,VIRGINIA LAKES RIDGE,21,9.2,31,11.3,46,4,6.50,,9445,1978-10-01,2100-01-01"
"Mar 2004,846,VIRGINIA LAKES RIDGE,35,14.9,58,17.8,63,8,1.40,,9445,1978-10-01,2100-01-01"
"Apr 2004,846,VIRGINIA LAKES RIDGE,34,16.1,41,19.2,62,12,0.30,,9445,1978-10-01,2100-01-01"
"May 2004,846,VIRGINIA LAKES RIDGE,42,11.4,27,19.5,68,18,0.30,,9445,1978-10-01,2100-01-01"
"Jun 2004,846,VIRGINIA LAKES RIDGE,52,0.0,0,19.8,74,23,0.10,,9445,1978-10-01,2100-01-01"
"Jul 2004,846,VIRGINIA LAKES RIDGE,59,0.0,0,19.9,81,39,0.20,,9445,1978-10-01,2100-01-01"
"Aug 2004,846,VIRGINIA LAKES RIDGE,55,0.0,0,20.1,84,30,1.50,,9445,1978-10-01,2100-01-01"
"Sep 2004,846,VIRGINIA LAKES RIDGE,49,0.0,0,21.6,73,17,0.10,,9445,1978-10-01,2100-01-01"
"Oct 2004,846,VIRGINIA LAKES RIDGE,35,0.0,0,0.0,69,9,4.00,,9445,1978-10-01,2100-01-01"
"Nov 2004,846,VIRGINIA LAKES RIDGE,26,2.8,17,4.0,54,-4,4.20,,9445,1978-10-01,2100-01-01"
"Dec 2004,846,VIRGINIA LAKES RIDGE,26,6.4,30,8.2,56,1,6.80,,9445,1978-10-01,2100-01-01"
"Jan 2005,846,VIRGINIA LAKES RIDGE,24,12.7,68,15.0,59,2,9.80,,9445,1978-10-01,2100-01-01"
"Feb 2005,846,VIRGINIA LAKES RIDGE,24,22.5,72,23.4,47,9,4.50,,9445,1978-10-01,2100-01-01"
"Mar 2005,846,VIRGINIA LAKES RIDGE,28,27.0,85,27.5,61,6,6.70,,9445,1978-10-01,2100-01-01"
"Apr 2005,846,VIRGINIA LAKES RIDGE,31,33.7,91,32.9,61,11,1.70,,9445,1978-10-01,2100-01-01"
"May 2005,846,VIRGINIA LAKES RIDGE,41,33.1,69,34.6,70,13,2.40,,9445,1978-10-01,2100-01-01"
"Jun 2005,846,VIRGINIA LAKES RIDGE,46,14.3,22,37.0,74,22,0.10,,9445,1978-10-01,2100-01-01"
"Jul 2005,846,VIRGINIA LAKES RIDGE,61,0.0,0,37.1,83,46,0.10,,9445,1978-10-01,2100-01-01"
"Aug 2005,846,VIRGINIA LAKES RIDGE,,0.0,0,37.2,,,0.30,,9445,1978-10-01,2100-01-01"
"Sep 2005,846,VIRGINIA LAKES RIDGE,47,0.0,0,37.5,70,28,0.10,,9445,1978-10-01,2100-01-01"
"Oct 2005,846,VIRGINIA LAKES RIDGE,42,0.0,0,0.0,63,22,0.30,,9445,1978-10-01,2100-01-01"
"Nov 2005,846,VIRGINIA LAKES RIDGE,37,0.0,0,0.3,54,11,1.40,,9445,1978-10-01,2100-01-01"
"Dec 2005,846,VIRGINIA LAKES RIDGE,30,0.7,3,1.7,52,8,10.20,,9445,1978-10-01,2100-01-01"
"Jan 2006,846,VIRGINIA LAKES RIDGE,28,10.9,53,11.5,47,7,7.80,,9445,1978-10-01,2100-01-01"
"Feb 2006,846,VIRGINIA LAKES RIDGE,28,18.7,59,18.7,50,0,3.10,,9445,1978-10-01,2100-01-01"
"Mar 2006,846,VIRGINIA LAKES RIDGE,23,21.8,78,21.5,49,0,9.30,,9445,1978-10-01,2100-01-01"
"Apr 2006,846,VIRGINIA LAKES RIDGE,34,31.1,93,28.2,59,11,3.00,,9445,1978-10-01,2100-01-01"
"May 2006,846,VIRGINIA LAKES RIDGE,44,34.1,74,29.8,63,19,0.90,,9445,1978-10-01,2100-01-01"
"Jun 2006,846,VIRGINIA LAKES RIDGE,54,11.2,21,30.7,78,30,0.10,,9445,1978-10-01,2100-01-01"
"Jul 2006,846,VIRGINIA LAKES RIDGE,59,0.0,0,30.8,79,42,1.10,,9445,1978-10-01,2100-01-01"
"Aug 2006,846,VIRGINIA LAKES RIDGE,56,0.0,0,31.9,72,39,0.00,,9445,1978-10-01,2100-01-01"
"Sep 2006,846,VIRGINIA LAKES RIDGE,50,0.0,0,31.9,73,22,0.00,,9445,1978-10-01,2100-01-01"
"Oct 2006,846,VIRGINIA LAKES RIDGE,39,0.0,0,0.0,57,21,1.60,,9445,1978-10-01,2100-01-01"
"Nov 2006,846,VIRGINIA LAKES RIDGE,36,0.0,0,1.6,61,4,1.20,,9445,1978-10-01,2100-01-01"
"Dec 2006,846,VIRGINIA LAKES RIDGE,30,0.1,1,2.8,50,1,2.10,,9445,1978-10-01,2100-01-01"
"Jan 2007,846,VIRGINIA LAKES RIDGE,24,1.6,9,4.9,49,-12,1.50,,9445,1978-10-01,2100-01-01"
"Feb 2007,846,VIRGINIA LAKES RIDGE,28,2.6,14,6.4,51,6,5.00,,9445,1978-10-01,2100-01-01"
"Mar 2007,846,VIRGINIA LAKES RIDGE,35,7.6,37,11.4,58,7,1.30,,9445,1978-10-01,2100-01-01"
"Apr 2007,846,VIRGINIA LAKES RIDGE,37,7.7,22,12.7,62,12,1.20,,9445,1978-10-01,2100-01-01"
"May 2007,846,VIRGINIA LAKES RIDGE,46,4.9,9,13.9,68,21,0.40,,9445,1978-10-01,2100-01-01"
"Jun 2007,846,VIRGINIA LAKES RIDGE,54,0.0,0,14.3,75,22,0.40,,9445,1978-10-01,2100-01-01"
"Jul 2007,846,VIRGINIA LAKES RIDGE,62,0.0,0,14.7,83,43,0.50,,9445,1978-10-01,2100-01-01"
"Aug 2007,846,VIRGINIA LAKES RIDGE,59,0.0,0,15.2,78,43,2.30,,9445,1978-10-01,2100-01-01"
"Sep 2007,846,VIRGINIA LAKES RIDGE,48,0.0,0,17.5,72,29,1.00,,9445,1978-10-01,2100-01-01"
"Oct 2007,846,VIRGINIA LAKES RIDGE,41,0.0,0,0.0,67,17,0.80,,9445,1978-10-01,2100-01-01"
"Nov 2007,846,VIRGINIA LAKES RIDGE,38,0.0,0,0.8,55,13,0.40,,9445,1978-10-01,2100-01-01"
"Dec 2007,846,VIRGINIA LAKES RIDGE,27,0.0,0,1.2,54,-2,2.90,,9445,1978-10-01,2100-01-01"
"Jan 2008,846,VIRGINIA LAKES RIDGE,24,2.5,11,4.1,46,4,11.10,,9445,1978-10-01,2100-01-01"
"Feb 2008,846,VIRGINIA LAKES RIDGE,29,13.2,63,15.2,53,3,6.40,,9445,1978-10-01,2100-01-01"
"Mar 2008,846,VIRGINIA LAKES RIDGE,31,19.2,71,21.6,51,7,1.10,,9445,1978-10-01,2100-01-01"
"Apr 2008,846,VIRGINIA LAKES RIDGE,35,20.0,57,22.7,58,14,0.20,,9445,1978-10-01,2100-01-01"
"May 2008,846,VIRGINIA LAKES RIDGE,41,16.9,38,22.9,68,17,2.40,,9445,1978-10-01,2100-01-01"
"Jun 2008,846,VIRGINIA LAKES RIDGE,52,3.0,7,25.3,71,28,0.00,,9445,1978-10-01,2100-01-01"
"Jul 2008,846,VIRGINIA LAKES RIDGE,60,0.0,0,25.3,76,45,0.20,,9445,1978-10-01,2100-01-01"
"Aug 2008,846,VIRGINIA LAKES RIDGE,60,0.0,0,25.5,78,42,0.00,,9445,1978-10-01,2100-01-01"
"Sep 2008,846,VIRGINIA LAKES RIDGE,52,0.0,0,25.5,71,29,0.00,,9445,1978-10-01,2100-01-01"
"Oct 2008,846,VIRGINIA LAKES RIDGE,42,0.0,0,0.0,65,9,0.90,,9445,1978-10-01,2100-01-01"
"Nov 2008,846,VIRGINIA LAKES RIDGE,36,0.0,0,0.9,55,16,2.90,,9445,1978-10-01,2100-01-01"
"Dec 2008,846,VIRGINIA LAKES RIDGE,28,1.3,4,3.8,56,2,3.00,,9445,1978-10-01,2100-01-01"
"Jan 2009,846,VIRGINIA LAKES RIDGE,31,3.9,18,6.8,50,3,2.80,,9445,1978-10-01,2100-01-01"
"Feb 2009,846,VIRGINIA LAKES RIDGE,26,6.0,27,9.6,49,1,4.30,,9445,1978-10-01,2100-01-01"
"Mar 2009,846,VIRGINIA LAKES RIDGE,29,9.4,37,13.9,52,5,5.80,,9445,1978-10-01,2100-01-01"
"Apr 2009,846,VIRGINIA LAKES RIDGE,34,14.3,48,19.7,60,6,1.20,,9445,1978-10-01,2100-01-01"
"May 2009,846,VIRGINIA LAKES RIDGE,47,12.0,32,20.9,68,31,1.60,,9445,1978-10-01,2100-01-01"
"Jun 2009,846,VIRGINIA LAKES RIDGE,47,0.0,0,22.5,74,29,0.70,,9445,1978-10-01,2100-01-01"
"Jul 2009,846,VIRGINIA LAKES RIDGE,59,0.0,0,23.2,78,42,0.00,,9445,1978-10-01,2100-01-01"
"Aug 2009,846,VIRGINIA LAKES RIDGE,56,0.0,0,23.2,77,32,0.00,,9445,1978-10-01,2100-01-01"
"Sep 2009,846,VIRGINIA LAKES RIDGE,54,0.0,0,23.2,73,21,0.20,,9445,1978-10-01,2100-01-01"
"Oct 2009,846,VIRGINIA LAKES RIDGE,38,0.0,0,0.0,60,11,3.40,,9445,1978-10-01,2100-01-01"
"Nov 2009,846,VIRGINIA LAKES RIDGE,35,0.3,1,3.4,62,15,1.50,,9445,1978-10-01,2100-01-01"
"Dec 2009,846,VIRGINIA LAKES RIDGE,26,1.0,5,4.9,47,-4,3.70,,9445,1978-10-01,2100-01-01"
"Jan 2010,846,VIRGINIA LAKES RIDGE,28,3.8,18,8.6,49,8,5.30,,9445,1978-10-01,2100-01-01"
"Feb 2010,846,VIRGINIA LAKES RIDGE,28,8.3,35,13.9,45,4,6.00,,9445,1978-10-01,2100-01-01"
"Mar 2010,846,VIRGINIA LAKES RIDGE,29,12.9,60,19.9,55,8,3.10,,9445,1978-10-01,2100-01-01"
"Apr 2010,846,VIRGINIA LAKES RIDGE,31,15.3,55,23.0,55,7,4.30,,9445,1978-10-01,2100-01-01"
"May 2010,846,VIRGINIA LAKES RIDGE,36,17.6,51,27.3,56,14,1.00,,9445,1978-10-01,2100-01-01"
"Jun 2010,846,VIRGINIA LAKES RIDGE,50,8.6,22,28.3,72,30,0.00,,9445,1978-10-01,2100-01-01"
"Jul 2010,846,VIRGINIA LAKES RIDGE,58,0.0,0,28.3,77,36,0.20,,9445,1978-10-01,2100-01-01"
"Aug 2010,846,VIRGINIA LAKES RIDGE,56,0.0,0,28.5,76,30,0.00,,9445,1978-10-01,2100-01-01"
"Sep 2010,846,VIRGINIA LAKES RIDGE,53,0.0,0,28.5,73,29,0.00,,9445,1978-10-01,2100-01-01"
"Oct 2010,846,VIRGINIA LAKES RIDGE,40,0.0,0,0.0,67,19,5.00,,9445,1978-10-01,2100-01-01"
"Nov 2010,846,VIRGINIA LAKES RIDGE,32,0.0,0,5.0,63,1,4.50,,9445,1978-10-01,2100-01-01"
"Dec 2010,846,VIRGINIA LAKES RIDGE,30,3.5,19,9.5,54,1,11.00,,9445,1978-10-01,2100-01-01"
"Jan 2011,846,VIRGINIA LAKES RIDGE,31,13.6,58,20.5,50,4,1.20,,9445,1978-10-01,2100-01-01"
"Feb 2011,846,VIRGINIA LAKES RIDGE,24,14.3,45,21.7,48,1,4.40,,9445,1978-10-01,2100-01-01"
"Mar 2011,846,VIRGINIA LAKES RIDGE,30,18.4,64,26.1,58,11,8.50,,9445,1978-10-01,2100-01-01"
"Apr 2011,846,VIRGINIA LAKES RIDGE,33,26.2,81,34.6,61,3,2.70,,9445,1978-10-01,2100-01-01"
"May 2011,846,VIRGINIA LAKES RIDGE,37,26.3,60,37.3,58,13,1.80,,9445,1978-10-01,2100-01-01"
"Jun 2011,846,VIRGINIA LAKES RIDGE,47,16.6,34,39.1,69,23,1.10,,9445,1978-10-01,2100-01-01"
"Jul 2011,846,VIRGINIA LAKES RIDGE,57,0.0,0,40.2,74,38,0.30,,9445,1978-10-01,2100-01-01"
"Aug 2011,846,VIRGINIA LAKES RIDGE,58,0.0,0,40.5,75,44,0.00,,9445,1978-10-01,2100-01-01"
"Sep 2011,846,VIRGINIA LAKES RIDGE,52,0.0,0,40.5,69,37,0.40,,9445,1978-10-01,2100-01-01"
"Oct 2011,846,VIRGINIA LAKES RIDGE,44,0.0,0,0.0,64,18,1.10,,9445,1978-10-01,2100-01-01"
"Nov 2011,846,VIRGINIA LAKES RIDGE,32,0.0,0,1.1,54,9,1.00,,9445,1978-10-01,2100-01-01"
"Dec 2011,846,VIRGINIA LAKES RIDGE,27,0.0,0,2.1,50,3,0.20,,9445,1978-10-01,2100-01-01"
"Jan 2012,846,VIRGINIA LAKES RIDGE,33,0.0,0,2.3,52,14,3.90,,9445,1978-10-01,2100-01-01"
"Feb 2012,846,VIRGINIA LAKES RIDGE,27,3.9,19,6.1,49,6,1.60,,9445,1978-10-01,2100-01-01"
"Mar 2012,846,VIRGINIA LAKES RIDGE,31,4.8,27,7.7,53,0,3.80,,9445,1978-10-01,2100-01-01"
"Apr 2012,846,VIRGINIA LAKES RIDGE,37,7.9,32,11.5,62,8,1.20,,9445,1978-10-01,2100-01-01"
"May 2012,846,VIRGINIA LAKES RIDGE,46,2.9,6,12.7,71,21,0.00,,9445,1978-10-01,2100-01-01"
"Jun 2012,846,VIRGINIA LAKES RIDGE,53,0.0,0,12.7,74,22,0.40,,9445,1978-10-01,2100-01-01"
"Jul 2012,846,VIRGINIA LAKES RIDGE,60,0.0,0,13.1,78,44,0.00,,9445,1978-10-01,2100-01-01"
"Aug 2012,846,VIRGINIA LAKES RIDGE,59,0.0,0,13.1,78,43,1.60,,9445,1978-10-01,2100-01-01"
"Sep 2012,846,VIRGINIA LAKES RIDGE,54,0.0,0,14.7,71,37,0.10,,9445,1978-10-01,2100-01-01"
"Oct 2012,846,VIRGINIA LAKES RIDGE,44,0.0,0,0.0,68,21,1.00,,9445,1978-10-01,2100-01-01"
"Nov 2012,846,VIRGINIA LAKES RIDGE,35,0.0,0,1.0,60,6,4.00,,9445,1978-10-01,2100-01-01"
"Dec 2012,846,VIRGINIA LAKES RIDGE,25,2.9,24,5.0,44,-2,7.60,,9445,1978-10-01,2100-01-01"
"Jan 2013,846,VIRGINIA LAKES RIDGE,26,10.3,43,12.6,48,-4,1.10,,9445,1978-10-01,2100-01-01"
"Feb 2013,846,VIRGINIA LAKES RIDGE,26,11.0,36,13.7,45,4,0.40,,9445,1978-10-01,2100-01-01"
"Mar 2013,846,VIRGINIA LAKES RIDGE,35,11.0,36,14.1,58,15,1.40,,9445,1978-10-01,2100-01-01"
"Apr 2013,846,VIRGINIA LAKES RIDGE,38,11.3,33,15.5,62,13,1.50,,9445,1978-10-01,2100-01-01"
"May 2013,846,VIRGINIA LAKES RIDGE,43,6.5,15,17.0,65,25,0.30,,9445,1978-10-01,2100-01-01"
"Jun 2013,846,VIRGINIA LAKES RIDGE,54,0.0,0,17.3,81,31,0.10,,9445,1978-10-01,2100-01-01"
"Jul 2013,846,VIRGINIA LAKES RIDGE,60,0.0,0,17.4,82,45,1.00,,9445,1978-10-01,2100-01-01"
"Aug 2013,846,VIRGINIA LAKES RIDGE,56,0.0,0,18.4,74,41,0.40,,9445,1978-10-01,2100-01-01"
"Sep 2013,846,VIRGINIA LAKES RIDGE,50,0.0,0,18.8,71,21,1.10,,9445,1978-10-01,2100-01-01"
"Oct 2013,846,VIRGINIA LAKES RIDGE,39,0.0,0,0.0,66,16,0.80,,9445,1978-10-01,2100-01-01"
"Nov 2013,846,VIRGINIA LAKES RIDGE,35,0.4,1,0.8,55,12,0.50,,9445,1978-10-01,2100-01-01"
"Dec 2013,846,VIRGINIA LAKES RIDGE,29,0.0,0,1.3,53,-3,1.40,,9445,1978-10-01,2100-01-01"
"Jan 2014,846,VIRGINIA LAKES RIDGE,34,1.0,4,2.7,49,12,1.90,,9445,1978-10-01,2100-01-01"
"Feb 2014,846,VIRGINIA LAKES RIDGE,31,2.5,18,4.6,48,4,5.30,,9445,1978-10-01,2100-01-01"
"Mar 2014,846,VIRGINIA LAKES RIDGE,,7.0,45,9.9,,,,,9445,1978-10-01,2100-01-01"
"Oct 2003,1052,SUMMIT MEADOW,47,0.0,0,0.0,70,15,0.30,,9313,2003-09-22,2100-01-01"
"Nov 2003,1052,SUMMIT MEADOW,29,0.2,4,0.3,52,4,2.20,,9313,2003-09-22,2100-01-01"
"Dec 2003,1052,SUMMIT MEADOW,28,2.4,10,2.5,50,1,8.70,,9313,2003-09-22,2100-01-01"
"Jan 2004,1052,SUMMIT MEADOW,28,11.1,47,7.8,49,2,3.30,,9313,2003-09-22,2100-01-01"
"Feb 2004,1052,SUMMIT MEADOW,23,14.4,45,9.9,43,7,7.40,,9313,2003-09-22,2100-01-01"
"Mar 2004,1052,SUMMIT MEADOW,37,21.8,71,14.4,59,14,1.70,,9313,2003-09-22,2100-01-01"
"Apr 2004,1052,SUMMIT MEADOW,35,23.5,54,15.3,59,16,0.60,,9313,2003-09-22,2100-01-01"
"May 2004,1052,SUMMIT MEADOW,42,14.8,34,15.9,62,21,0.60,,9313,2003-09-22,2100-01-01"
"Jun 2004,1052,SUMMIT MEADOW,52,0.0,0,16.5,68,25,0.00,,9313,2003-09-22,2100-01-01"
"Jul 2004,1052,SUMMIT MEADOW,57,0.0,0,16.5,75,41,0.00,,9313,2003-09-22,2100-01-01"
"Aug 2004,1052,SUMMIT MEADOW,55,0.0,0,16.5,75,34,1.50,,9313,2003-09-22,2100-01-01"
"Sep 2004,1052,SUMMIT MEADOW,49,0.0,0,18.0,69,20,0.10,,9313,2003-09-22,2100-01-01"
"Oct 2004,1052,SUMMIT MEADOW,37,0.0,0,0.0,64,13,3.90,,9313,2003-09-22,2100-01-01"
"Nov 2004,1052,SUMMIT MEADOW,29,3.7,17,3.9,51,1,3.70,,9313,2003-09-22,2100-01-01"
"Dec 2004,1052,SUMMIT MEADOW,30,6.8,27,7.6,52,5,6.60,,9313,2003-09-22,2100-01-01"
"Jan 2005,1052,SUMMIT MEADOW,28,13.4,60,11.7,56,8,12.20,,9313,2003-09-22,2100-01-01"
"Feb 2005,1052,SUMMIT MEADOW,27,25.6,83,16.1,45,13,4.10,,9313,2003-09-22,2100-01-01"
"Mar 2005,1052,SUMMIT MEADOW,30,29.7,91,19.9,57,11,6.90,,9313,2003-09-22,2100-01-01"
"Apr 2005,1052,SUMMIT MEADOW,31,36.6,99,22.9,52,14,2.30,,9313,2003-09-22,2100-01-01"
"May 2005,1052,SUMMIT MEADOW,41,37.3,79,25.2,64,14,1.90,,9313,2003-09-22,2100-01-01"
"Jun 2005,1052,SUMMIT MEADOW,45,10.0,25,27.1,69,24,0.10,,9313,2003-09-22,2100-01-01"
"Jul 2005,1052,SUMMIT MEADOW,60,0.0,0,27.2,78,45,0.10,,9313,2003-09-22,2100-01-01"
"Aug 2005,1052,SUMMIT MEADOW,56,0.0,0,27.3,72,35,0.60,,9313,2003-09-22,2100-01-01"
"Sep 2005,1052,SUMMIT MEADOW,46,0.0,0,27.9,68,26,0.30,,9313,2003-09-22,2100-01-01"
"Oct 2005,1052,SUMMIT MEADOW,42,0.0,0,0.0,66,20,0.30,,9313,2003-09-22,2100-01-01"
"Nov 2005,1052,SUMMIT MEADOW,37,0.0,0,0.3,56,7,2.10,,9313,2003-09-22,2100-01-01"
"Dec 2005,1052,SUMMIT MEADOW,30,1.1,7,2.4,50,10,10.40,,9313,2003-09-22,2100-01-01"
"Jan 2006,1052,SUMMIT MEADOW,28,11.5,45,9.2,47,2,7.60,,9313,2003-09-22,2100-01-01"
"Feb 2006,1052,SUMMIT MEADOW,28,19.1,56,14.9,50,-1,7.30,,9313,2003-09-22,2100-01-01"
"Mar 2006,1052,SUMMIT MEADOW,21,26.4,90,17.0,43,0,16.20,,9313,2003-09-22,2100-01-01"
"Apr 2006,1052,SUMMIT MEADOW,32,42.6,123,20.9,58,9,4.70,,9313,2003-09-22,2100-01-01"
"May 2006,1052,SUMMIT MEADOW,43,47.3,111,24.2,64,20,0.50,,9313,2003-09-22,2100-01-01"
