# Monthly Data for Mar 1950 to Mar 2014
#
# (As of: Fri Mar 14 18:08:55 PDT 2014)
"#  **Provisional data, subject to revision**"
#
"Date,Station Id,Station Name,Air Temperature Average (degF),Snow Water Equivalent (in),Snow Depth (in),Precipitation Accumulation (in),Air Temperature Maximum (degF),Air Temperature Minimum (degF),Precipitation Increment - Snow-adj (in),Reservoir Storage Volume (ac_ft),Elevation (ft),Start Date,End Date"
"Dec 1993,574,LEAVITT LAKE,,4.0,,5.3,,,7.50,,9617,1989-08-17,2100-01-01"
"Jan 1994,574,LEAVITT LAKE,26,11.5,,9.4,52,1,4.10,,9617,1989-08-17,2100-01-01"
"Feb 1994,574,LEAVITT LAKE,22,15.6,,11.9,49,0,15.20,,9617,1989-08-17,2100-01-01"
"Mar 1994,574,LEAVITT LAKE,30,30.8,,22.4,60,5,5.90,,9617,1989-08-17,2100-01-01"
"Apr 1994,574,LEAVITT LAKE,31,36.7,,25.9,57,8,3.30,,9617,1989-08-17,2100-01-01"
"May 1994,574,LEAVITT LAKE,38,34.6,,29.2,64,15,3.30,,9617,1989-08-17,2100-01-01"
"Jun 1994,574,LEAVITT LAKE,50,20.9,,32.5,68,26,0.30,,9617,1989-08-17,2100-01-01"
"Jul 1994,574,LEAVITT LAKE,58,0.0,,32.8,75,33,0.30,,9617,1989-08-17,2100-01-01"
"Aug 1994,574,LEAVITT LAKE,56,0.0,,33.1,74,33,0.00,,9617,1989-08-17,2100-01-01"
"Sep 1994,574,LEAVITT LAKE,46,0.0,,33.1,67,25,1.40,,9617,1989-08-17,2100-01-01"
"Oct 1994,574,LEAVITT LAKE,36,0.0,,0.0,62,10,3.00,,9617,1989-08-17,2100-01-01"
"Nov 1994,574,LEAVITT LAKE,22,0.0,,3.0,44,-2,15.40,,9617,1989-08-17,2100-01-01"
"Dec 1994,574,LEAVITT LAKE,24,15.4,,14.3,44,1,10.10,,9617,1989-08-17,2100-01-01"
"Jan 1995,574,LEAVITT LAKE,23,25.5,,21.2,45,2,29.50,,9617,1989-08-17,2100-01-01"
"Feb 1995,574,LEAVITT LAKE,31,55.0,,44.0,62,2,4.00,,9617,1989-08-17,2100-01-01"
"Mar 1995,574,LEAVITT LAKE,24,59.0,,47.1,58,-1,41.20,,9617,1989-08-17,2100-01-01"
"Apr 1995,574,LEAVITT LAKE,28,100.2,,84.4,61,0,9.10,,9617,1989-08-17,2100-01-01"
"May 1995,574,LEAVITT LAKE,34,109.3,,93.1,62,12,4.70,,9617,1989-08-17,2100-01-01"
"Jun 1995,574,LEAVITT LAKE,40,104.2,,97.8,70,11,1.60,,9617,1989-08-17,2100-01-01"
"Jul 1995,574,LEAVITT LAKE,,81.4,,99.4,,,0.20,,9617,1989-08-17,2100-01-01"
"Aug 1995,574,LEAVITT LAKE,53,31.0,,99.6,73,33,0.30,,9617,1989-08-17,2100-01-01"
"Sep 1995,574,LEAVITT LAKE,49,0.0,,99.9,72,28,0.10,,9617,1989-08-17,2100-01-01"
"Oct 1995,574,LEAVITT LAKE,43,0.0,,0.0,69,12,0.00,,9617,1989-08-17,2100-01-01"
"Nov 1995,574,LEAVITT LAKE,39,0.0,,0.0,59,12,0.20,,9617,1989-08-17,2100-01-01"
"Dec 1995,574,LEAVITT LAKE,26,0.0,,0.2,46,7,11.10,,9617,1989-08-17,2100-01-01"
"Jan 1996,574,LEAVITT LAKE,26,11.1,,10.5,54,1,21.20,,9617,1989-08-17,2100-01-01"
"Feb 1996,574,LEAVITT LAKE,26,32.3,,23.3,57,-3,16.60,,9617,1989-08-17,2100-01-01"
"Mar 1996,574,LEAVITT LAKE,29,48.9,,37.3,62,-4,10.00,,9617,1989-08-17,2100-01-01"
"Apr 1996,574,LEAVITT LAKE,32,58.9,,43.7,66,1,7.60,,9617,1989-08-17,2100-01-01"
"May 1996,574,LEAVITT LAKE,37,66.5,,49.0,67,9,7.10,,9617,1989-08-17,2100-01-01"
"Jun 1996,574,LEAVITT LAKE,48,54.9,,56.1,71,19,0.70,,9617,1989-08-17,2100-01-01"
"Jul 1996,574,LEAVITT LAKE,57,16.7,,56.8,77,33,1.90,,9617,1989-08-17,2100-01-01"
"Aug 1996,574,LEAVITT LAKE,55,0.0,,58.7,76,33,0.10,,9617,1989-08-17,2100-01-01"
"Sep 1996,574,LEAVITT LAKE,47,0.0,,58.8,69,17,0.10,,9617,1989-08-17,2100-01-01"
"Oct 1996,574,LEAVITT LAKE,37,0.0,,0.0,73,10,3.90,,9617,1989-08-17,2100-01-01"
"Nov 1996,574,LEAVITT LAKE,31,3.3,,3.9,60,8,11.90,,9617,1989-08-17,2100-01-01"
"Dec 1996,574,LEAVITT LAKE,26,12.9,,15.8,48,6,41.10,,9617,1989-08-17,2100-01-01"
"Jan 1997,574,LEAVITT LAKE,25,54.0,,39.5,60,-10,26.00,,9617,1989-08-17,2100-01-01"
"Feb 1997,574,LEAVITT LAKE,22,77.6,,65.5,49,-2,2.30,,9617,1989-08-17,2100-01-01"
"Mar 1997,574,LEAVITT LAKE,32,78.7,,67.8,57,-2,0.80,,9617,1989-08-17,2100-01-01"
"Apr 1997,574,LEAVITT LAKE,28,78.9,,68.6,59,-4,3.00,,9617,1989-08-17,2100-01-01"
"May 1997,574,LEAVITT LAKE,42,71.7,,71.6,65,16,0.30,,9617,1989-08-17,2100-01-01"
"Jun 1997,574,LEAVITT LAKE,43,53.1,,71.9,68,20,1.70,,9617,1989-08-17,2100-01-01"
"Jul 1997,574,LEAVITT LAKE,52,14.1,,73.6,74,19,0.70,,9617,1989-08-17,2100-01-01"
"Aug 1997,574,LEAVITT LAKE,54,0.0,,74.3,76,32,0.10,,9617,1989-08-17,2100-01-01"
"Sep 1997,574,LEAVITT LAKE,47,0.0,,74.4,66,21,0.80,,9617,1989-08-17,2100-01-01"
"Oct 1997,574,LEAVITT LAKE,38,0.0,,0.0,68,6,2.10,,9617,1989-08-17,2100-01-01"
"Nov 1997,574,LEAVITT LAKE,31,0.0,,2.1,64,15,8.00,,9617,1989-08-17,2100-01-01"
"Dec 1997,574,LEAVITT LAKE,23,8.0,,8.5,52,1,6.80,,9617,1989-08-17,2100-01-01"
"Jan 1998,574,LEAVITT LAKE,24,14.8,,13.8,44,3,23.30,,9617,1989-08-17,2100-01-01"
"Feb 1998,574,LEAVITT LAKE,20,38.1,,29.5,45,0,26.60,,9617,1989-08-17,2100-01-01"
"Mar 1998,574,LEAVITT LAKE,25,64.7,,48.9,52,-8,11.20,,9617,1989-08-17,2100-01-01"
"Apr 1998,574,LEAVITT LAKE,25,75.9,,58.8,58,-5,7.50,,9617,1989-08-17,2100-01-01"
"May 1998,574,LEAVITT LAKE,28,83.4,,61.7,59,6,5.70,,9617,1989-08-17,2100-01-01"
"Jun 1998,574,LEAVITT LAKE,42,89.1,,66.7,63,18,1.20,,9617,1989-08-17,2100-01-01"
"Jul 1998,574,LEAVITT LAKE,54,60.7,,67.9,75,32,0.50,,9617,1989-08-17,2100-01-01"
"Aug 1998,574,LEAVITT LAKE,56,1.6,,68.4,78,34,0.20,,9617,1989-08-17,2100-01-01"
"Sep 1998,574,LEAVITT LAKE,44,0.0,,68.6,70,19,4.50,,9617,1989-08-17,2100-01-01"
"Oct 1998,574,LEAVITT LAKE,34,0.4,,0.0,62,10,1.50,,9617,1989-08-17,2100-01-01"
"Nov 1998,574,LEAVITT LAKE,28,1.0,,1.5,59,5,16.70,,9617,1989-08-17,2100-01-01"
"Dec 1998,574,LEAVITT LAKE,24,17.7,,13.8,56,-11,5.30,,9617,1989-08-17,2100-01-01"
"Jan 1999,574,LEAVITT LAKE,27,23.0,,17.1,52,5,18.40,,9617,1989-08-17,2100-01-01"
"Feb 1999,574,LEAVITT LAKE,24,41.4,,30.3,48,-6,21.00,,9617,1989-08-17,2100-01-01"
"Mar 1999,574,LEAVITT LAKE,25,62.4,,44.4,51,-7,7.50,,9617,1989-08-17,2100-01-01"
"Apr 1999,574,LEAVITT LAKE,24,69.9,,49.4,56,-8,7.60,,9617,1989-08-17,2100-01-01"
"May 1999,574,LEAVITT LAKE,37,77.5,,55.5,67,6,0.70,,9617,1989-08-17,2100-01-01"
"Jun 1999,574,LEAVITT LAKE,45,60.7,,56.2,73,8,0.80,,9617,1989-08-17,2100-01-01"
"Jul 1999,574,LEAVITT LAKE,53,19.7,,57.0,74,29,0.10,,9617,1989-08-17,2100-01-01"
"Aug 1999,574,LEAVITT LAKE,49,0.0,,57.1,69,10,1.40,,9617,1989-08-17,2100-01-01"
"Sep 1999,574,LEAVITT LAKE,50,0.0,,58.5,73,22,1.70,,9617,1989-08-17,2100-01-01"
"Oct 1999,574,LEAVITT LAKE,45,0.0,,0.0,68,23,1.70,,9617,1989-08-17,2100-01-01"
"Nov 1999,574,LEAVITT LAKE,35,0.0,,1.7,61,5,6.00,,9617,1989-08-17,2100-01-01"
"Dec 1999,574,LEAVITT LAKE,27,6.0,,6.8,52,2,2.60,,9617,1989-08-17,2100-01-01"
"Jan 2000,574,LEAVITT LAKE,25,8.6,,7.7,45,4,21.40,,9617,1989-08-17,2100-01-01"
"Feb 2000,574,LEAVITT LAKE,25,30.0,,24.2,56,3,23.60,,9617,1989-08-17,2100-01-01"
"Mar 2000,574,LEAVITT LAKE,27,53.6,,40.6,55,5,4.00,,9617,1989-08-17,2100-01-01"
"Apr 2000,574,LEAVITT LAKE,34,57.6,,43.3,63,5,4.00,,9617,1989-08-17,2100-01-01"
"May 2000,574,LEAVITT LAKE,40,54.7,,47.3,72,1,3.10,,9617,1989-08-17,2100-01-01"
"Jun 2000,574,LEAVITT LAKE,50,49.2,,50.4,79,16,1.90,,9617,1989-08-17,2100-01-01"
"Jul 2000,574,LEAVITT LAKE,52,0.2,,52.3,77,12,0.00,,9617,1989-08-17,2100-01-01"
"Aug 2000,574,LEAVITT LAKE,53,0.0,,52.3,76,28,1.20,,9617,1989-08-17,2100-01-01"
"Sep 2000,574,LEAVITT LAKE,47,0.0,0,53.5,73,19,1.50,,9617,1989-08-17,2100-01-01"
"Oct 2000,574,LEAVITT LAKE,35,0.0,0,0.0,60,5,4.80,,9617,1989-08-17,2100-01-01"
"Nov 2000,574,LEAVITT LAKE,25,4.1,14,4.8,52,-2,2.80,,9617,1989-08-17,2100-01-01"
"Dec 2000,574,LEAVITT LAKE,29,6.9,26,6.7,49,6,2.90,,9617,1989-08-17,2100-01-01"
